1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
2287,4402,6424,8218,12534,14522,17995,19730,23545,25403,28883,30841,33733,35398,37022,38753,42749,44577,48325,50031,53861,55618,59790,61579
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
816,2750,4449,6029,9772,11470,15101,16864,20627,22325,25759,27505,30115,31712,33509,35210,39213,41028,44476,46096,49924,51686,54881,56531
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
2755,4351,6122,7850,12412,14090,19029,20751,25152,26808,37501,39317,42289,44273,45885,47646,51707,53485,57702,59319,63510,65110,68869,70738
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1924,3742,5674,7335,11792,13390,17308,19088,23242,25014,28913,30899,33392,35134,36875,38502,42475,44236,48520,50213,54617,56445,60158,61859
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1668,3374,5158,6819,10991,12706,16364,18135,21670,23276,26348,27914,30649,32036,33911,35323,38853,40428,44352,45893,49526,51058,54186,55633
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1248,2794,6678,8266,11138,12995,15685,17422,19993,21783,23728,25507,27234,29038,30577,32217,34878,36217,38935,40307,43355,44705,47101,48395
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
763,2243,4045,5629,9070,11028,14568,16475,19795,22042,25667,27749,30558,32233,34109,35929,39642,41660,45363,47548,50808,52752,56004,57709
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
827,2401,4001,5555,9232,10583,13998,15503,19404,20883,24398,25902,28628,30370,32152,33792,37767,39315,42795,44391,47720,49473,52384,54153
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
983,3026,4809,6496,10785,12238,15979,17416,21478,23060,26455,28163,30781,32186,34128,35533,39488,41146,44591,46201,49447,51099,54710,56200
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1148,2806,4611,6378,9553,11712,13646,15441,18576,20112,22781,24267,26520,27920,29300,31247,33994,35598,38485,40367,43609,44937,47438,48937
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
901,2534,4372,5877,10141,11535,14336,15917,19071,21248,23963,25820,28133,29893,31330,33155,36294,38160,40425,42125,44644,46411,48789,50127
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
2361,3730,5162,6543,9429,11089,13419,15234,17868,19521,21692,23122,25241,26293,27651,29183,31940,33683,36469,38061,42398,43895,46336,47700
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1948,4075,6075,7907,13034,14946,19400,21607,25808,27961,31396,33557,35735,37414,39772,41685,45270,47325,52105,54154,58579,60625,64462,66619
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
755,2529,4506,6414,9646,11774,16575,18552,22521,24458,28417,30714,32905,34848,36623,38621,42229,44517,47296,49986,54169,56447,59584,62074
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1898,3530,5288,6742,12533,13915,17684,19184,22652,24304,30282,31843,34255,35789,37474,39378,43178,44704,47818,49371,52568,54152,57204,58609
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1046,2584,4130,5636,9535,11054,14968,16282,19695,21230,24355,26383,29467,31231,33351,35024,38633,40145,44559,46219,49726,51192,54442,55924
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1155,3158,4678,6089,10477,11918,15861,17379,21280,22771,26904,28424,31367,32980,34916,36356,41119,42390,46788,48099,52656,53980,58425,60229
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1613,3309,5024,6608,11046,12632,17170,18563,22981,24545,28770,30370,33712,35483,37085,38669,43116,44656,49278,50832,55165,56836,61119,62669
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
0,2628,4787,6397,9876,11728,16125,17805,21776,23295,26931,28586,31088,32907,34685,36288,40491,42022,46183,47711,51688,53305,57365,58846
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1483,3165,5408,6993,10647,12162,16087,17798,21695,23459,27169,29115,31585,33146,34918,36691,40596,42232,46078,47925,51664,53422,57028,58941
1,0,2,0,3,0,4,0,5,0,6,0,7,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0
1869,3845,5800,7642,11454,13232,16878,18595,22382,24009,27711,29313,33286,35048,37775,39819,41665,43446,47530,49203,53231,55022,58951,60722,64906,66761,70097,71993
1,0,2,0,3,0,4,0,5,0,6,0,7,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0
1840,3558,5393,7259,11224,13051,16828,18701,22745,24549,28344,30177,33772,35599,38423,40298,42248,44032,47736,49495,53285,55042,58700,60545,64057,65428,68769,70389
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1886,3665,5866,7600,11636,13372,17022,18831,24638,26768,30392,32345,34754,36512,38419,40172,43904,45711,49402,51243,55608,57366,62000,63679
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
2297,3876,5956,7611,11577,13505,17063,18821,25791,27501,30675,32674,34847,36632,38279,40055,43505,45384,48685,50519,54129,56094,59146,61036
1,0,2,0,3,0,5,0,4,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
0,3883,6167,8162,12656,14943,20753,23406,27657,30645,34211,36658,39280,41152,43230,45593,49301,52049,57022,59581,63843,66523,70997,73704
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1308,3659,5631,7783,11323,13939,18132,20520,24764,27446,31007,34215,37075,39173,40873,43016,46791,49839,53302,56328,60689,63341,67277,70437
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1353,3232,5097,6667,11253,13065,16259,17683,20703,22187,25257,26875,29946,31248,32785,34314,37774,39099,42421,44086,46489,48175,50529,52032
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
788,2497,3951,5475,8483,9939,12716,14549,16810,18448,21488,23219,25575,27355,29035,30565,33435,35019,37541,39279,41619,43739,45486,47086
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
617,2080,3832,5316,8747,10271,13954,15600,19230,21103,24346,26701,28954,30505,32245,33949,37273,38821,42058,43630,46854,48404,51015,52517
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
830,2417,4220,5800,8768,10550,13451,15038,17965,19291,22328,24121,26528,28442,30258,31908,35036,36722,40192,42074,44946,46659,49370,51016
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
999,2230,4303,5872,9407,11357,14875,16662,20194,22158,25292,27246,29894,31668,33387,35122,38964,40724,43571,45071,47989,49631,52117,54252
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
761,2162,3776,5388,8338,10085,12905,14853,17614,19509,22382,24362,26486,27822,29339,31213,33997,35827,38629,40567,43125,44914,47313,49215
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
2570,4276,6213,7851,12574,14306,18321,20079,24080,25661,29977,31948,34819,36377,38167,39919,44792,46378,50646,52168,56227,57990,62036,63750
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1383,2905,5054,6679,11310,12853,16993,18690,22974,24659,28913,30405,33940,35720,37716,39421,44208,46056,50671,52503,57169,59053,63419,65249
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1896,3265,4894,6445,10415,12042,15920,17752,21589,23231,27205,29125,31870,33692,35542,37248,40003,43185,47350,49103,52993,54749,58512,60506
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
2504,4410,6444,8184,12639,14410,18263,19960,23852,25454,29540,31472,34627,36526,38410,40103,44667,46701,50762,52526,56824,58589,62507,64328
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1057,2393,4479,6282,11600,13279,16093,17998,21191,23381,26834,28731,31297,32801,34778,36776,40154,42210,45199,47035,50331,52208,55441,57224
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
1362,2933,4545,6271,9052,10602,13228,15142,18390,20031,22890,24696,27054,28901,30644,32377,35193,36881,39220,41203,43926,45827,48123,49985
1,0,2,0,3,0,4,0,5,0,6,0,1,0,2,0,3,0,4,0,5,0,6,0
2811,4687,7112,8878,13204,15124,19327,21468,25236,26983,30940,32890,35366,37269,38914,40676,44266,45987,50062,51767,56016,57759,61755,63622
